	precision	recall	f1-score	support
0	0.9933333333333333	0.9933333333333333	0.9933333333333333	450.0
1	0.9345238095238095	0.9235294117647059	0.9289940828402367	170.0
2	0.9385964912280702	0.9907407407407407	0.9639639639639639	108.0
3	0.940677966101695	0.9098360655737705	0.925	122.0
accuracy	0.9670588235294117	0.9670588235294117	0.9670588235294117	0.9670588235294117
macro avg	0.951782900046727	0.9543598878531376	0.9528228450343834	850.0
weighted avg	0.967059035924807	0.9670588235294117	0.9669260025775864	850.0
