	precision	recall	f1-score	support
0	0.9977777777777778	0.9977777777777778	0.9977777777777778	450.0
1	0.9404761904761905	0.9294117647058824	0.9349112426035503	170.0
2	0.9391304347826087	1.0	0.968609865470852	108.0
3	0.9487179487179487	0.9098360655737705	0.9288702928870294	122.0
accuracy	0.971764705882353	0.971764705882353	0.971764705882353	0.971764705882353
macro avg	0.9565255879386314	0.9592564020143577	0.9575422946848025	850.0
weighted avg	0.971824269507134	0.971764705882353	0.9716081793478508	850.0
