	precision	recall	f1-score	support
1	0.9237113402061856	0.9955555555555555	0.9582887700534759	450.0
2	0.8074534161490683	0.7647058823529411	0.7854984894259819	170.0
3	0.8888888888888888	0.9629629629629629	0.9244444444444444	108.0
4	0.9195402298850575	0.6557377049180327	0.7655502392344498	122.0
accuracy	0.8964705882352941	0.8964705882352941	0.8964705882352941	0.8964705882352941
macro avg	0.8848984687823	0.8447405264473731	0.8584454857895879	850.0
weighted avg	0.8954365786871789	0.8964705882352941	0.8917668457800988	850.0
