	precision	recall	f1-score	support
0	0.9889867841409692	0.9977777777777778	0.993362831858407	450.0
1	0.9337349397590361	0.9117647058823529	0.9226190476190476	170.0
2	0.9385964912280702	0.9907407407407407	0.9639639639639639	108.0
3	0.9396551724137931	0.8934426229508197	0.9159663865546218	122.0
accuracy	0.9647058823529412	0.9647058823529412	0.9647058823529412	0.9647058823529412
macro avg	0.9502433468854672	0.9484314618379227	0.94897805749901	850.0
weighted avg	0.9644533467171608	0.9647058823529412	0.9643700231756389	850.0
