	precision	recall	f1-score	support
1	0.9083503054989817	0.9911111111111112	0.9479277364505846	450.0
2	0.8421052631578947	0.6588235294117647	0.7392739273927392	170.0
3	0.9174311926605505	0.9259259259259259	0.9216589861751153	108.0
4	0.8632478632478633	0.8278688524590164	0.8451882845188285	122.0
accuracy	0.8929411764705882	0.8929411764705882	0.8929411764705882	0.8929411764705882
macro avg	0.8827836561413226	0.8509323547269545	0.8635122336343168	850.0
weighted avg	0.889781576864662	0.8929411764705882	0.8881131650326333	850.0
