object	figurative_language_class	LIWC_category	count
RoBERTa	metaphor	pronoun	2
RoBERTa	metaphor	article	0
RoBERTa	metaphor	prep	0
RoBERTa	metaphor	auxverb	0
RoBERTa	metaphor	conj	0
RoBERTa	metaphor	negate	0
RoBERTa	metaphor	interrog	1
RoBERTa	metaphor	quant	0
RoBERTa	metaphor	verb	7
RoBERTa	metaphor	adj	0
RoBERTa	metaphor	adverb	2
RoBERTa	metaphor	compare	0
RoBERTa	metaphor	posemo	0
RoBERTa	metaphor	negemo	0
RoBERTa	idiom	pronoun	0
RoBERTa	idiom	article	0
RoBERTa	idiom	prep	1
RoBERTa	idiom	auxverb	0
RoBERTa	idiom	conj	1
RoBERTa	idiom	negate	0
RoBERTa	idiom	interrog	0
RoBERTa	idiom	quant	0
RoBERTa	idiom	verb	1
RoBERTa	idiom	adj	4
RoBERTa	idiom	adverb	1
RoBERTa	idiom	compare	0
RoBERTa	idiom	posemo	2
RoBERTa	idiom	negemo	4
RoBERTa	sarcasm	pronoun	0
RoBERTa	sarcasm	article	0
RoBERTa	sarcasm	prep	0
RoBERTa	sarcasm	auxverb	0
RoBERTa	sarcasm	conj	0
RoBERTa	sarcasm	negate	0
RoBERTa	sarcasm	interrog	0
RoBERTa	sarcasm	quant	0
RoBERTa	sarcasm	verb	6
RoBERTa	sarcasm	adj	4
RoBERTa	sarcasm	adverb	2
RoBERTa	sarcasm	compare	0
RoBERTa	sarcasm	posemo	3
RoBERTa	sarcasm	negemo	3
XLNet	idiom	pronoun	0
XLNet	idiom	article	0
XLNet	idiom	prep	1
XLNet	idiom	auxverb	0
XLNet	idiom	conj	1
XLNet	idiom	negate	0
XLNet	idiom	interrog	0
XLNet	idiom	quant	0
XLNet	idiom	verb	4
XLNet	idiom	adj	1
XLNet	idiom	adverb	0
XLNet	idiom	compare	0
XLNet	idiom	posemo	0
XLNet	idiom	negemo	1
RoBERTa	simile	pronoun	0
RoBERTa	simile	article	0
RoBERTa	simile	prep	0
RoBERTa	simile	auxverb	1
RoBERTa	simile	conj	0
RoBERTa	simile	negate	0
RoBERTa	simile	interrog	0
RoBERTa	simile	quant	0
RoBERTa	simile	verb	7
RoBERTa	simile	adj	4
RoBERTa	simile	adverb	0
RoBERTa	simile	compare	1
RoBERTa	simile	posemo	0
RoBERTa	simile	negemo	1
XLNet	metaphor	pronoun	0
XLNet	metaphor	article	0
XLNet	metaphor	prep	0
XLNet	metaphor	auxverb	0
XLNet	metaphor	conj	0
XLNet	metaphor	negate	0
XLNet	metaphor	interrog	0
XLNet	metaphor	quant	0
XLNet	metaphor	verb	12
XLNet	metaphor	adj	2
XLNet	metaphor	adverb	0
XLNet	metaphor	compare	0
XLNet	metaphor	posemo	0
XLNet	metaphor	negemo	1
XLNet	sarcasm	pronoun	0
XLNet	sarcasm	article	0
XLNet	sarcasm	prep	0
XLNet	sarcasm	auxverb	0
XLNet	sarcasm	conj	1
XLNet	sarcasm	negate	0
XLNet	sarcasm	interrog	0
XLNet	sarcasm	quant	0
XLNet	sarcasm	verb	12
XLNet	sarcasm	adj	6
XLNet	sarcasm	adverb	1
XLNet	sarcasm	compare	2
XLNet	sarcasm	posemo	7
XLNet	sarcasm	negemo	3
XLNet	simile	pronoun	0
XLNet	simile	article	0
XLNet	simile	prep	3
XLNet	simile	auxverb	0
XLNet	simile	conj	1
XLNet	simile	negate	0
XLNet	simile	interrog	0
XLNet	simile	quant	0
XLNet	simile	verb	3
XLNet	simile	adj	8
XLNet	simile	adverb	0
XLNet	simile	compare	7
XLNet	simile	posemo	1
XLNet	simile	negemo	0
BERT	idiom	pronoun	0
BERT	idiom	article	0
BERT	idiom	prep	1
BERT	idiom	auxverb	0
BERT	idiom	conj	2
BERT	idiom	negate	0
BERT	idiom	interrog	0
BERT	idiom	quant	0
BERT	idiom	verb	3
BERT	idiom	adj	1
BERT	idiom	adverb	0
BERT	idiom	compare	0
BERT	idiom	posemo	0
BERT	idiom	negemo	0
